Name,contract_id,Total,APY,APY%,Guarantee,contract_type,year_signed,Position,year,base_salary,contract_year_1,contract_year_2,player_id,position_y1,unit_y1,offense_y1,pass_block_y1,run_block_y1,receiving_y1,pass_y1,run_y1,defense_y1,coverage_y1,pass_rush_y1,run_defense_y1,player_y1,year_in_league_y1,season_count_y1,war_y1,waa_y1,height_y1,weight_y1,total_alignments_played_y1,total_positions_played_y1,total_snap_count_y1,weeks_played_y1,snap_count_per_week_played_y1,HB_total_snaps_y1,WR_total_snaps_y1,SWR_total_snaps_y1,QB_total_snaps_y1,LT_total_snaps_y1,LG_total_snaps_y1,C_total_snaps_y1,RG_total_snaps_y1,RT_total_snaps_y1,FB_total_snaps_y1,TE_total_snaps_y1,LED_total_snaps_y1,RED_total_snaps_y1,LID_total_snaps_y1,RID_total_snaps_y1,NT_total_snaps_y1,LB_total_snaps_y1,SCB_total_snaps_y1,CB_total_snaps_y1,FS_total_snaps_y1,SS_total_snaps_y1,main_position_y1,position_y2,unit_y2,offense_y2,pass_block_y2,run_block_y2,receiving_y2,pass_y2,run_y2,defense_y2,coverage_y2,pass_rush_y2,run_defense_y2,player_y2,year_in_league_y2,season_count_y2,war_y2,waa_y2,height_y2,weight_y2,total_alignments_played_y2,total_positions_played_y2,total_snap_count_y2,weeks_played_y2,snap_count_per_week_played_y2,HB_total_snaps_y2,WR_total_snaps_y2,SWR_total_snaps_y2,QB_total_snaps_y2,LT_total_snaps_y2,LG_total_snaps_y2,C_total_snaps_y2,RG_total_snaps_y2,RT_total_snaps_y2,FB_total_snaps_y2,TE_total_snaps_y2,LED_total_snaps_y2,RED_total_snaps_y2,LID_total_snaps_y2,RID_total_snaps_y2,NT_total_snaps_y2,LB_total_snaps_y2,SCB_total_snaps_y2,CB_total_snaps_y2,FS_total_snaps_y2,SS_total_snaps_y2,main_position_y2
Nate Burleson,1824,7500000,3750000,0.030487805,0,Other,2013,WR,2013.0,2000000.0,2012,2011,1386,WR,offense,64.22857142857143,,57.27619047619047,63.60476190476191,,68.38095238095238,,,,,Nate Burleson,8.0,7.0,0.046,-0.0385900900900901,600.0,197.0,11.0,3.0,368.0,6.0,61.333333333333336,5.0,180.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,62.2952380952381,,65.65714285714286,61.58095238095238,,65.43333333333332,,,,,Nate Burleson,7.0,6.0,0.075,-0.16759009009009,600.0,197.0,7.0,3.0,1037.0,17.0,61.0,14.0,443.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
Dwayne Bowe,6948,56000000,11200000,0.091056911,20000000,UFA,2013,WR,2013.0,750000.0,2012,2011,3639,WR,offense,78.83809523809524,78.625,73.92380952380952,77.9095238095238,,,,,,,Dwayne Bowe,6.0,5.0,0.248,0.10240990990991,602.0,221.0,10.0,5.0,757.0,13.0,58.23076923076923,1.0,678.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,78.68095238095238,71.19411764705883,67.41904761904762,78.67142857142858,,63.2,,,,,Dwayne Bowe,5.0,4.0,0.419,0.23340990990991,602.0,221.0,5.0,3.0,933.0,16.0,58.3125,0.0,840.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brian Hartline,22159,30775000,6155000,0.05004065,12500000,UFA,2013,WR,2013.0,715000.0,2012,2011,5031,WR,offense,77.53809523809524,,67.10952380952381,77.38571428571429,,,,,,,Brian Hartline,4.0,3.0,0.282,0.0934099099099099,602.0,195.0,6.0,3.0,914.0,16.0,57.125,2.0,878.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,67.44285714285714,,57.476190476190474,67.28571428571429,,63.1,,,,,Brian Hartline,3.0,2.0,0.14,-0.0155900900900901,602.0,195.0,5.0,3.0,708.0,16.0,44.25,1.0,675.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Santonio Holmes,1782,25250000,8416667,0.068428187,7750000,Other,2013,WR,2013.0,7500000.0,2012,2011,2970,WR,offense,71.09047619047618,,60.2,71.29523809523809,,,,,,,Santonio Holmes,7.0,6.0,0.048,0.0034099099099099,511.0,189.0,7.0,2.0,190.0,4.0,47.5,0.0,154.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,62.87619047619048,71.77058823529411,63.099999999999994,63.10952380952381,,58.660000000000004,,,,,Santonio Holmes,6.0,5.0,0.087,-0.12759009009009,511.0,189.0,7.0,4.0,1025.0,16.0,64.0625,2.0,709.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Santana Moss,22224,2500000,2500000,0.020325203,0,Other,2013,WR,2013.0,2000000.0,2012,2011,786,WR,offense,65.35238095238095,,60.41428571428572,65.9095238095238,,59.17777777777778,,,,,Santana Moss,8.0,7.0,0.076,-0.0405900900900901,510.0,185.0,14.0,6.0,489.0,17.0,28.764705882352942,1.0,97.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,76.28571428571429,,70.3047619047619,75.16666666666667,,,,,,,Santana Moss,7.0,6.0,0.157,0.0154099099099099,510.0,185.0,7.0,4.0,640.0,12.0,53.333333333333336,3.0,377.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Donnie Avery,2767,8550000,2850000,0.023170732,2250000,UFA,2013,WR,2013.0,750000.0,2012,2011,4347,WR,offense,63.25714285714286,65.6,56.980952380952374,64.04761904761905,,50.14,,,,,Donnie Avery,4.0,3.0,0.03,-0.22259009009009,511.0,186.0,11.0,4.0,1138.0,17.0,66.94117647058823,11.0,937.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,49.67777777777778,,60.24117647058823,49.82222222222222,,,,,,,Donnie Avery,3.0,2.0,-0.023,-0.0515900900900901,511.0,186.0,4.0,2.0,113.0,8.0,14.125,0.0,98.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Mike Wallace,6973,60000000,12000000,0.097560976,27000000,UFA,2013,WR,2013.0,1000000.0,2012,2011,5007,WR,offense,65.82857142857144,,59.77619047619047,67.15238095238095,,56.79473684210526,,,,,Mike Wallace,4.0,3.0,0.093,-0.0985900900900901,600.0,200.0,10.0,4.0,851.0,15.0,56.733333333333334,2.0,759.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,83.52857142857142,,62.595238095238095,82.87142857142857,,75.4470588235294,,,,,Mike Wallace,3.0,2.0,0.355,0.13640990990991,600.0,200.0,5.0,3.0,1011.0,17.0,59.470588235294116,6.0,904.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Percy Harvin,6312,64217500,12843500,0.104418699,14500000,Extension,2013,WR,2013.0,2500000.0,2012,2011,4945,WR,offense,90.13333333333333,70.0,64.67142857142856,91.56666666666666,,51.53333333333334,,,,,Percy Harvin,4.0,3.0,0.403,0.30440990990991,511.0,184.0,18.0,7.0,426.0,9.0,47.333333333333336,36.0,188.0,193.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,80.71428571428571,72.7,77.28095238095239,80.27619047619048,,69.44761904761906,,,,,Percy Harvin,3.0,2.0,0.394,0.24440990990991,511.0,184.0,9.0,4.0,623.0,16.0,38.9375,84.0,223.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
Jerome Simpson,22229,2100000,2100000,0.017073171,500000,UFA,2013,WR,2013.0,1350000.0,2012,2011,4360,WR,offense,62.39444444444444,,74.46666666666667,60.02777777777778,,,,,,,Jerome Simpson,5.0,4.0,-0.031,-0.13359009009009,602.0,190.0,9.0,3.0,506.0,13.0,38.92307692307692,0.0,477.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,WR,offense,63.709523809523816,68.1,68.83333333333333,63.60952380952381,,,,,,,Jerome Simpson,4.0,3.0,0.086,-0.12159009009009,602.0,190.0,4.0,2.0,948.0,17.0,55.76470588235294,0.0,874.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Amendola,6844,28500000,5700000,0.046341463,8000000,UFA,2013,WR,2013.0,2000000.0,2012,2011,4717,WR,offense,86.1952380952381,,70.65714285714286,85.67142857142856,,59.357142857142854,,,,,Danny Amendola,4.0,3.0,0.281,0.16640990990991,511.0,190.0,10.0,3.0,524.0,11.0,47.63636363636363,0.0,142.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,WR,offense,66.4,,89.1,61.8,,,,,,,Danny Amendola,3.0,2.0,-0.004,-0.0125900900900901,511.0,190.0,5.0,3.0,40.0,1.0,40.0,0.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR
