Name,Team,pff_id,pff_franchise_id,ID,player_id,team_id,Position,Role,Years,date_signed,year_signed,start_year,Total,APY,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2
Mitchell Trubisky,Bears,11757,6,2,5586,21,QB,Offense,4,7/19/2017,2017,2017,29032436,7258109,29032436,0,0.00%,29032436,0,19254500,0,4656468,0,0,0,,Active,,0,Drafted,0
Solomon Thomas,49ers,11758,28,3,5587,31,43DE,Defense,4,7/28/2017,2017,2017,28154382,7038596,28154382,0,0.00%,28154382,0,18615912,0,7138470,0,0,0,,Active,,,Drafted,
Corey Davis,Titans,11760,31,5,5589,12,WR,Offense,4,7/30/2017,2017,2017,25394750,6348688,25394750,0,0.00%,25394750,0,16608908,0,6385842,0,0,0,,Active,,,Drafted,
Mike Williams,Chargers,11762,27,7,5591,15,WR,Offense,4,5/11/2017,2017,2017,19750056,4937514,19750056,0,0.00%,19750056,0,12503676,0,4846380,0,0,0,,Active,,,Drafted,
John Ross,Bengals,11764,7,9,5593,7,WR,Offense,4,5/7/2017,2017,2017,17115864,4278966,17115864,0,0.00%,17115864,0,10587900,0,0,0,0,0,,Active,,,Drafted,
Marshon Lattimore,Saints,11766,20,11,5595,27,CB,Defense,4,6/2/2017,2017,2017,15359736,3839934,15359736,0,0.00%,15359736,0,9310716,0,2318150,0,0,0,,Active,,0,Drafted,0
Haason Reddick,Cardinals,11768,1,13,5597,29,EDGE,Defense,4,6/8/2017,2017,2017,13478172,3369543,13478172,0,0.00%,13478172,0,7942308,0,325000,0,0,0,,Active,,,Drafted,
Derek Barnett,Eagles,11769,24,14,5598,19,43DE,Defense,4,6/2/2017,2017,2017,12850988,3212747,12850988,0,0.00%,12850988,0,7486172,0,0,0,0,0,,Active,,,Drafted,
Malik Hooker,Colts,11770,14,15,5599,10,S,Defense,4,5/16/2017,2017,2017,12600108,3150027,12600108,0,0.00%,12600108,0,7303716,0,0,0,0,0,,Active,,,Drafted,
Jonathan Allen,Football Team,11772,32,17,5601,20,34DE,Defense,4,5/11/2017,2017,2017,11596600,2899150,11596600,0,0.00%,11596600,0,6573892,0,0,0,0,0,,Active,,,Drafted,
Adoree' Jackson,Titans,11773,31,18,5602,12,CB,Defense,4,5/23/2017,2017,2017,11283012,2820753,11283012,0,0.00%,11283012,0,6345828,0,0,0,0,0,,Active,,,Drafted,
O.J. Howard,Buccaneers,11774,30,19,5603,28,TE,Offense,4,5/23/2017,2017,2017,11094856,2773714,11094856,0,0.00%,11094856,0,6208984,0,0,0,0,0,,Active,,,Drafted,
Garett Bolles,Broncos,11775,10,20,5604,13,LT,Offense,4,5/12/2017,2017,2017,11032134,2758034,11032134,0,0.00%,11032134,0,6163368,0,0,0,0,0,,Active,,0,Drafted,0
Jarrad Davis,Lions,11776,11,21,5605,22,ILB,Defense,4,5/12/2017,2017,2017,10969420,2742355,10969420,0,0.00%,10969420,0,6117760,0,0,0,0,0,,Active,,,Drafted,
Evan Engram,Giants,11778,21,23,5607,17,TE,Offense,4,6/15/2017,2017,2017,10718546,2679637,10341925,0,0.00%,10341925,0,5935304,0,0,0,0,0,,Active,,,Drafted,
David Njoku,Browns,11784,8,29,5613,6,TE,Offense,4,6/15/2017,2017,2017,9525345,2381336,8191434,0,0.00%,8191434,0,5067524,0,0,0,0,0,,Active,,,Drafted,
T.J. Watt,Steelers,11785,25,30,5614,8,34OLB,Defense,4,6/14/2017,2017,2017,9258810,2314703,7933745,0,0.00%,7933745,0,4873680,0,0,0,0,0,,Active,,,Drafted,
Ryan Ramczyk,Saints,11787,20,32,5616,27,RT,Offense,4,6/22/2017,2017,2017,8891810,2222953,7432291,0,0.00%,7432291,0,4606772,0,0,0,0,0,,Active,,0,Drafted,0
Kevin King,Packers,11788,12,33,5619,23,CB,Defense,4,5/12/2017,2017,2017,7080850,1770213,5276565,0,0.00%,5276565,0,3289708,0,0,0,0,0,,Active,,0,Drafted,0
