Name,Team,pff_id,pff_franchise_id,ID,player_id,contract_id,team_id,Position,Role,Year,BS,PB,RB,PGRB,WO,OB,option_bonus,restructure_bonus,CP,DM,CS,GBS,VGBS,Notes,CshBns,Cshpay,Cshtocp,tb,initial_cash,old_money,cash_dead,Status,contract_type,provisional,credits,is_split_salary
Tyron Smith,Cowboys,6161,9,12718,663,1429,18,LT,Offense,2022,13500000,4005000,0,0,0,0,0,0,17505000,0,0,0,0,,0,13500000,0,,13500000,0,0,Active,Extension,,0,0
Tyron Smith,Cowboys,6161,9,12719,663,1429,18,LT,Offense,2023,13600000,4005000,0,0,0,0,0,0,17605000,0,0,0,0,,0,13600000,0,,13600000,0,0,Active,Extension,,0,0
Charley Hughlett,Browns,7336,8,26759,2907,3635,6,LS,Special,2022,1250000,0,0,0,0,0,0,0,1250000,0,0,0,0,,0,1250000,0,,1250000,0,0,Active,ERFA,,0,0
Jimmy Garoppolo,49ers,8697,28,36387,3001,15093,31,QB,Offense,2022,24200000,1400000,0,800000,600000,0,0,0,26950000,0,0,0,0,$7.5MP5injgtd,0,25600000,0,,25600000,0,0,Active,UFA,,0,0
Mike Evans,Buccaneers,8642,30,37020,2946,15393,28,WR,Offense,2022,1120000,9198500,0,0,0,0,0,12880000,10318500,0,0,0,0,,0,14000000,0,,14000000,0,0,Active,Extension,,0,0
Mike Evans,Buccaneers,8642,30,37021,2946,15393,28,WR,Offense,2023,13000000,9198500,1500000,0,0,0,0,0,23698500,0,0,0,0,,0,14500000,0,,14500000,0,0,Active,Extension,,0,0
Eric Kendricks,Vikings,9478,18,37501,3893,15697,24,ILB,Defense,2022,9150000,4030000,0,250000,100000,0,0,0,13514375,0,0,0,0,,0,9500000,0,,9500000,0,0,Active,Extension,,0,0
Eric Kendricks,Vikings,9478,18,37502,3893,15697,24,ILB,Defense,2023,9150000,1930000,0,250000,100000,0,0,0,11430000,0,0,0,0,,0,9500000,0,,9500000,0,0,Active,Extension,,0,0
Zack Martin,Cowboys,8651,9,40428,2955,16672,18,RG,Offense,2022,1641000,10390000,0,0,0,0,0,10200000,12031000,0,0,0,0,,0,11841000,0,,11841000,0,0,Active,Extension,,0,0
Zack Martin,Cowboys,8651,9,40429,2955,16672,18,RG,Offense,2023,13500000,6390000,0,0,0,0,0,0,19890000,0,0,0,0,,0,13500000,0,,13500000,0,0,Active,Extension,,0,0
Zack Martin,Cowboys,8651,9,40430,2955,16672,18,RG,Offense,2024,13000000,6390000,1000000,0,0,0,0,0,20390000,0,0,0,0,,0,14000000,0,,14000000,0,0,Active,Extension,,0,0
Danielle Hunter,Vikings,9521,18,40519,3936,16717,24,EDGE,Defense,2022,1400000,10620000,0,500000,100000,0,0,18000000,12338750,0,0,0,0,,0,20000000,0,,12000000,0,0,Active,Extension,,0,0
