ID,player_id,Name,Team,team_id,Original Team,Pos,Position,Role,Years,year_signed,start_year,Total,APY,APY as % of Cap,Guarantee,GPY,GP,total_guarantees,vested_guarantees,signing_bonus,option_bonus,roster_bonus,pergame_bonus,workout_bonus,incentives,FA,Status,is_featured,is_front,contract_type,ID2,Vet Contract,Sub Group,Age At Sign,Draft Round,Snaps (N-1),ST Snaps,Effective Length
20073,110,Cheta Ozougwu,Bears,21,0,ED,ED,Defense,1,2013,2013,480000,480000,0.003902439,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,0,25,7,23,1,1
19979,6867,Andrew Jackson,Bills,1,0,G,G,Offense,1,2013,2013,405000,405000,0.003292683,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,G,25,7,0,0,1
22407,1575,Zach Miller,Buccaneers,28,0,TE,TE,Offense,1,2013,2013,630000,630000,0.005121951,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,TE,29,6,0,0,1
20320,427,Tim Fugger,Cardinals,29,0,ED,ED,Defense,1,2013,2013,405000,405000,0.003292683,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,0,24,7,0,0,1
20064,889,Michael Jasper,Giants,17,0,G,G,Offense,2,2013,2013,900000,450000,0.003658537,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,G,27,7,0,0,2
20422,546,Chandler Harnish,Colts,10,1,QB,QB,Offense,2,2013,2013,1060000,530000,0.004308943,10000,0,0,10000,0,10000,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,QB,25,7,0,0,2
7041,570,Justin Anderson,Colts,10,1,G,G,Offense,2,2013,2013,1050000,525000,0.004268293,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,G,0,7,0,0,2
19973,2077,Korey Lindsey,Redskins,20,0,CB,CB,Defense,3,2013,2013,1710000,570000,0.004634146,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,CB,0,7,0,0,0
20060,577,Lee Ziemba,Colts,10,0,T,T,Offense,2,2013,2013,1050000,525000,0.004268293,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,LT,0,7,0,0,2
20069,2463,DeMarco Sampson,Eagles,19,0,WR,WR,Offense,2,2013,2013,1050000,525000,0.004268293,0,0,0,0,0,0,0,0,0,0,0,NULL,Terminated,NULL,0,SFA,0,0,WR,28,7,0,0,2
